Effluent weight (g),Set1-F11-T5,Set1-F12-T6,Set1-F13-T7,Set2-F21-T1,Set2-F22-T2,Set2-F23-T13,Set3-F31-T18,Set3-F32-T19,Set3-F33-T20,Set?-F4-T17
338.0000,6368,6310,6242,4400,4715,5373,9180,8060,6980,NaN
339.0000,6377,6320,6250,4408,4723,5383,9187,8070,6990,NaN
340.0000,6387,6330,6260,4417,4732,5390,9193,8080,7000,NaN
341.0000,6397,6338,6267,4425,4740,5398,9202,8090,7010,NaN
342.0000,6405,6347,6277,4435,4750,5408,9208,8100,7020,NaN
343.0000,6415,6355,6285,4443,4758,5418,9215,8110,7030,NaN
344.0000,6423,6363,6295,4450,4765,5428,9223,8120,7040,NaN
345.0000,6432,6373,6300,4460,4775,5433,9230,8125,7050,NaN
346.0000,6442,6382,6310,4467,4783,5443,9235,8135,7060,NaN
347.0000,6452,6390,6320,4475,4792,5453,9243,8145,7065,NaN
348.0000,6458,6398,6325,4483,4800,5462,9248,8155,7075,NaN
349.0000,6468,6408,6335,4492,4808,5470,9257,8160,7085,NaN
350.0000,6478,6417,6345,4502,4817,5478,9263,8170,7095,NaN
351.0000,6485,6423,6352,4508,4825,5485,9270,8180,7105,NaN
352.0000,6495,6433,6360,4517,4833,5495,9277,8190,7115,NaN
353.0000,6503,6443,6370,4525,4842,5505,9285,8200,7125,NaN
354.0000,6513,6450,6377,4532,4850,5510,9288,8205,7135,NaN
355.0000,6522,6458,6385,4542,4860,5520,9297,8215,7145,NaN
356.0000,6530,6468,6395,4550,4867,5530,9302,8225,7150,NaN
357.0000,6538,6475,6400,4557,4875,5537,9310,8230,7160,NaN
358.0000,6547,6485,6410,4565,4885,5545,9315,8240,7170,NaN
359.0000,6557,6492,6418,4573,4890,5555,9322,8250,7180,NaN
360.0000,6565,6500,6425,4582,4900,5563,9327,8260,7190,NaN
361.0000,6573,6510,6435,4588,4910,5570,9333,8265,7200,NaN
362.0000,6582,6517,6443,4598,4917,5578,9340,8275,7205,NaN
363.0000,6590,6525,6450,4605,4925,5588,9345,8285,7215,NaN
364.0000,6600,6535,6458,4613,4933,5595,9350,8290,7225,NaN
365.0000,6607,6542,6465,4622,4942,5603,9357,8300,7235,NaN
366.0000,6615,6550,6475,4628,4950,5612,9362,8310,7245,NaN
367.0000,6625,6557,6483,4637,4957,5618,9368,8315,7250,NaN
368.0000,6633,6567,6490,4645,4967,5628,9373,8325,7260,NaN
369.0000,6642,6573,6498,4652,4972,5637,9378,8330,7270,NaN
370.0000,6648,6582,6505,4662,4982,5645,9382,8340,7280,NaN
371.0000,6658,6590,6513,4668,4992,5652,9387,8350,7285,NaN
372.0000,6667,6598,6522,4677,4997,5660,9393,8355,7295,NaN
373.0000,6675,6607,6528,4683,5007,5668,9397,8365,7305,NaN
374.0000,6682,6613,6538,4692,5013,5675,9403,8375,7315,NaN
375.0000,6692,6622,6543,4698,5022,5685,9407,8380,7320,NaN
376.0000,6698,6630,6553,4708,5030,5692,9410,8390,7330,NaN
377.0000,6707,6638,6558,4715,5038,5700,9415,8395,7340,NaN
378.0000,6715,6645,6568,4723,5045,5710,9420,8405,7345,NaN
379.0000,6723,6653,6573,4732,5053,5715,9423,8410,7355,NaN
380.0000,6732,6660,6583,4738,5062,5725,9428,8420,7365,NaN
381.0000,6738,6668,6588,4748,5068,5733,9432,8425,7375,NaN
382.0000,6748,6675,6598,4753,5078,5740,9435,8435,7380,NaN
383.0000,6755,6685,6603,4763,5083,5748,9442,8440,7390,NaN
384.0000,6763,6692,6613,4768,5093,5755,9445,8450,7395,NaN
385.0000,6772,6700,6618,4778,5100,5763,9448,8455,7405,NaN
386.0000,6777,6707,6628,4785,5108,5772,9452,8465,7415,NaN
387.0000,6787,6715,6633,4792,5117,5778,9457,8470,7425,NaN
388.0000,6795,6722,6643,4800,5123,5788,9460,8480,7430,NaN
389.0000,6802,6728,6648,4807,5132,5793,9465,8485,7440,NaN
390.0000,6810,6737,6657,4815,5138,5803,9468,8495,7445,NaN
391.0000,6818,6743,6663,4820,5147,5810,9473,8500,7455,NaN
392.0000,6825,6752,6670,4830,5155,5818,9477,8510,7465,NaN
393.0000,6833,6758,6678,4838,5162,5825,9480,8515,7470,NaN
394.0000,6842,6767,6685,4845,5170,5833,9482,8525,7480,NaN
395.0000,6848,6773,6693,4852,5177,5840,9370,8530,7485,NaN
