time (min)/weight (g),Set3_D31,Set3_D32,Set3_D33,Set2_D21,Set2_D22,Set2_D23,Set1_D11,Set1_D12,Set1_D13
120.0,293.0,395.3,285.7,173.0,193.0,204.3,455.0,442.7,366.0
121.0,295.0,398.0,287.7,174.0,194.7,206.0,458.0,445.3,369.0
122.0,297.0,400.7,289.3,175.3,196.3,207.3,461.0,448.3,371.0
123.0,300.0,403.3,291.3,176.7,197.7,209.0,464.3,451.3,374.0
124.0,302.0,405.7,293.3,178.0,199.0,210.7,467.3,454.0,377.0
125.0,304.0,408.7,295.7,179.3,200.3,212.3,470.3,457.0,379.0
126.0,306.0,411.3,297.7,181.0,202.0,213.7,473.0,459.7,381.0
127.0,308.0,414.0,300.0,182.3,203.3,215.7,476.0,462.3,384.0
128.0,310.0,416.7,301.7,183.7,204.7,217.0,478.7,465.7,387.0
129.0,312.0,419.7,303.3,184.7,206.3,218.3,481.7,468.0,389.0
130.0,313.0,422.0,305.7,186.3,208.0,220.0,484.7,470.7,392.0
131.0,316.0,425.0,307.3,187.7,209.7,221.3,487.3,473.7,395.0
132.0,318.0,427.3,309.7,189.0,211.0,222.7,490.3,476.3,397.0
133.0,320.0,430.0,312.0,190.0,212.3,224.3,493.3,479.0,400.0
134.0,322.0,432.7,313.7,192.0,213.7,226.0,496.3,481.7,402.0
135.0,324.0,435.3,315.3,193.0,215.0,227.7,499.0,484.3,405.0
136.0,326.0,438.0,317.7,194.3,216.7,229.0,502.0,487.0,407.0
137.0,327.0,440.7,319.7,195.7,218.0,231.0,505.0,489.7,410.0
138.0,329.0,443.3,321.3,197.3,219.7,232.3,507.3,492.3,413.0
139.0,331.0,446.0,323.7,198.3,221.0,233.7,510.3,495.0,415.0
140.0,333.0,448.3,325.3,199.7,222.3,235.3,513.0,497.3,417.0
141.0,335.0,451.0,327.3,201.0,224.0,237.0,516.0,500.3,420.0
142.0,337.0,453.7,329.3,202.7,225.7,238.3,519.0,503.0,423.0
143.0,339.0,456.0,331.0,204.0,227.0,239.7,521.0,505.7,425.0
144.0,341.0,458.7,333.3,205.3,228.3,241.3,524.0,508.0,427.0
145.0,343.0,461.3,335.3,206.7,230.0,243.0,526.7,510.7,430.0
146.0,345.0,463.7,336.7,208.0,231.3,244.3,529.3,513.3,432.0
147.0,347.0,466.3,339.0,209.3,232.7,246.0,532.0,516.0,435.0
148.0,349.0,468.7,341.0,211.0,234.0,247.7,535.0,518.3,437.0
149.0,351.0,471.3,343.0,212.0,235.3,249.0,537.3,521.0,439.0
150.0,353.0,474.0,344.7,213.3,236.7,250.7,539.7,523.7,442.0
151.0,354.0,476.3,346.7,214.7,238.3,252.3,542.7,526.3,445.0
152.0,356.0,478.7,348.3,216.0,240.0,253.3,545.3,528.7,447.0
153.0,358.0,481.3,350.7,217.3,241.3,255.0,548.3,531.0,449.0
154.0,360.0,483.7,352.0,218.7,242.7,256.7,550.3,533.7,452.0
155.0,362.0,486.0,354.0,220.0,244.3,258.0,553.3,536.0,454.0
156.0,364.0,489.0,356.0,221.3,245.7,259.7,556.0,538.7,457.0
157.0,366.0,491.3,358.0,222.7,247.3,261.0,558.7,541.0,459.0
158.0,368.0,493.3,360.0,224.0,249.0,262.3,561.0,543.3,461.0
159.0,369.0,496.0,361.3,225.3,250.0,264.0,563.7,546.0,464.0
160.0,371.0,498.3,363.7,226.7,251.3,265.3,566.3,548.3,466.0
161.0,373.0,500.7,365.3,228.3,252.7,267.0,568.7,551.0,469.0
162.0,375.0,503.3,367.0,229.3,254.0,268.7,571.0,553.3,471.0
163.0,377.0,505.3,368.7,230.7,255.3,270.0,573.7,555.3,473.0
164.0,379.0,508.0,370.7,232.0,257.0,271.3,576.3,558.3,476.0
165.0,380.0,510.7,373.0,233.0,258.3,272.7,579.0,560.7,478.0
166.0,382.0,512.7,374.3,234.7,259.7,274.3,581.0,562.7,480.0
167.0,384.0,515.0,376.3,236.0,261.0,276.0,583.7,565.0,483.0
168.0,386.0,517.0,378.3,237.3,262.3,277.3,586.3,567.0,485.0
169.0,388.0,520.0,379.7,238.3,264.0,278.7,588.7,570.0,487.0
170.0,389.0,522.0,381.7,240.0,265.7,280.3,590.7,572.0,490.0
171.0,391.0,524.3,383.7,241.0,267.0,281.7,593.7,574.3,492.0
172.0,393.0,526.7,385.7,242.3,268.3,283.3,596.0,577.0,494.0
173.0,395.0,529.0,387.0,243.7,269.7,284.7,598.7,579.0,497.0
174.0,397.0,531.3,389.0,245.0,271.0,286.3,600.7,581.0,498.0
175.0,398.0,533.7,390.7,246.3,272.3,287.3,603.3,583.7,501.0
176.0,400.0,536.0,392.7,247.7,273.3,289.0,605.3,585.7,503.0
177.0,402.0,538.3,394.3,249.0,274.7,290.3,608.0,588.3,506.0
178.0,404.0,540.3,396.0,250.0,276.7,292.3,610.3,590.3,508.0
179.0,405.0,543.0,397.7,251.7,278.0,293.3,612.3,592.7,510.0
180.0,407.0,545.0,399.7,252.7,279.3,294.7,614.3,594.7,512.0
181.0,409.0,547.3,401.3,254.3,280.7,296.3,617.3,596.7,515.0
182.0,411.0,549.7,403.3,255.3,282.0,298.0,619.3,599.7,517.0
183.0,412.0,552.0,404.7,257.0,283.3,299.3,621.7,601.3,519.0
184.0,414.0,554.0,406.7,258.0,284.3,300.7,624.3,603.7,521.0
185.0,416.0,556.0,408.3,259.3,286.0,302.0,626.3,606.0,524.0
186.0,417.0,558.3,410.0,260.3,287.3,303.7,628.3,608.0,526.0
187.0,419.0,560.7,412.0,261.7,288.7,305.0,631.0,610.0,528.0
188.0,421.0,562.7,413.7,263.3,290.0,306.3,633.3,612.0,530.0
189.0,423.0,565.0,415.3,264.3,291.3,307.7,635.7,614.7,532.0
190.0,424.0,567.3,417.3,265.7,293.0,309.3,637.7,616.7,534.0
191.0,426.0,569.3,418.7,267.3,293.7,310.7,640.0,618.7,536.0
192.0,427.0,571.7,420.3,268.0,295.3,312.0,642.3,620.7,539.0
193.0,429.0,573.7,422.3,269.7,297.0,313.3,644.0,623.0,541.0
194.0,431.0,575.7,424.0,270.7,298.7,315.3,646.7,625.0,543.0
195.0,433.0,578.0,425.7,272.0,300.0,316.3,648.7,627.0,545.0
196.0,434.0,580.0,427.3,273.3,301.3,317.7,650.7,629.0,547.0
197.0,436.0,582.3,429.0,274.7,302.7,319.0,653.0,631.0,550.0
198.0,437.0,584.3,430.7,276.0,303.7,320.3,655.3,633.0,551.0
199.0,439.0,587.0,432.7,277.3,305.0,322.0,657.3,635.0,554.0
200.0,441.0,588.7,434.0,278.7,306.3,323.3,659.7,637.0,556.0
201.0,442.0,591.0,436.0,280.0,308.0,325.0,661.7,639.0,558.0
202.0,444.0,593.0,437.3,281.3,309.3,326.0,663.7,641.0,560.0
203.0,446.0,595.0,439.3,282.3,310.3,327.3,665.7,643.0,562.0
204.0,447.0,597.3,440.7,283.3,311.7,329.3,668.0,645.0,564.0
205.0,449.0,599.3,442.3,285.0,313.3,330.3,669.7,647.0,566.0
