Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
134,3576.7,3558.3,3548.3,2216.7,2413.3,2875,5808.3,4840,3935,8611.7
135,3598.3,3578.3,3568.3,2231.7,2428.3,2891.7,5838.3,4865,3955,8640
136,3616.7,3598.3,3585,2243.3,2441.7,2908.3,5866.7,4890,3975,8663.3
137,3638.3,3616.7,3605,2256.7,2456.7,2926.7,5895,4915,4000,8688.3
138,3655,3636.7,3623.3,2270,2470,2941.7,5923.3,4940,4020,8711.7
139,3675,3656.7,3643.3,2283.3,2485,2958.3,5953.3,4965,4040,8735
140,3693.3,3676.7,3660,2296.7,2500,2973.3,5980,4985,4060,8758.3
141,3713.3,3695,3680,2310,2513.3,2993.3,6006.7,5010,4080,8781.7
142,3731.7,3713.3,3698.3,2323.3,2526.7,3008.3,6036.7,5035,4105,8806.7
143,3751.7,3733.3,3718.3,2338.3,2541.7,3025,6063.3,5055,4125,8828.3
144,3768.3,3753.3,3736.7,2348.3,2556.7,3040,6091.7,5080,4145,8848.3
145,3790,3770,3753.3,2363.3,2568.3,3055,6120,5105,4165,8871.7
146,3806.7,3788.3,3771.7,2376.7,2583.3,3071.7,6145,5130,4185,8893.3
147,3826.7,3808.3,3791.7,2390,2598.3,3086.7,6173.3,5150,4205,8915
148,3845,3828.3,3810,2403.3,2613.3,3101.7,6198.3,5175,4225,8935
149,3863.3,3845,3826.7,2416.7,2625,3121.7,6228.3,5200,4245,8956.7
150,3883.3,3863.3,3846.7,2428.3,2640,3135,6253.3,5220,4265,8975
151,3901.7,3883.3,3863.3,2443.3,2655,3151.7,6280,5245,4290,8995
152,3920,3900,3883.3,2455,2668.3,3168.3,6306.7,5265,4310,9015
153,3936.7,3918.3,3900,2470,2681.7,3183.3,6331.7,5290,4325,9036.7
154,3956.7,3936.7,3916.7,2480,2695,3198.3,6358.3,5310,4345,9055
155,3973.3,3955,3936.7,2495,2708.3,3213.3,6383.3,5330,4365,9073.3
156,3991.7,3973.3,3951.7,2506.7,2721.7,3230,6408.3,5355,4385,9091.7
157,4010,3990,3971.7,2521.7,2736.7,3245,6436.7,5375,4405,9108.3
158,4028.3,4008.3,3986.7,2531.7,2750,3260,6461.7,5400,4425,9126.7
159,4045,4025,4005,2545,2763.3,3275,6486.7,5420,4445,9145
160,4065,4045,4023.3,2560,2778.3,3290,6513.3,5445,4465,9163.3
161,4081.7,4061.7,4040,2571.7,2791.7,3306.7,6536.7,5465,4485,9178.3
162,4098.3,4080,4058.3,2585,2803.3,3320,6561.7,5485,4505,9196.7
163,4116.7,4096.7,4073.3,2596.7,2816.7,3335,6586.7,5510,4525,9211.7
164,4133.3,4113.3,4093.3,2610,2830,3350,6611.7,5530,4540,9230
165,4151.7,4131.7,4108.3,2621.7,2845,3365,6636.7,5550,4560,9245
166,4168.3,4148.3,4125,2635,2858.3,3381.7,6660,5570,4580,9261.7
167,4188.3,4166.7,4143.3,2648.3,2871.7,3396.7,6685,5590,4600,9276.7
168,4203.3,4183.3,4158.3,2658.3,2885,3411.7,6710,5615,4620,9293.3
169,4220,4200,4175,2671.7,2896.7,3426.7,6733.3,5635,4635,9308.3
170,4238.3,4216.7,4193.3,2685,2910,3441.7,6756.7,5655,4655,9323.3
171,4253.3,4235,4210,2696.7,2925,3455,6781.7,5675,4675,9338.3
172,4271.7,4250,4225,2708.3,2938.3,3470,6805,5695,4695,9353.3
173,4288.3,4268.3,4243.3,2723.3,2950,3485,6826.7,5715,4710,9366.7
174,4305,4285,4260,2733.3,2963.3,3498.3,6851.7,5735,4730,9380
175,4321.7,4300,4275,2746.7,2976.7,3513.3,6873.3,5760,4750,9395
176,4338.3,4316.7,4291.7,2758.3,2990,3528.3,6898.3,5780,4765,9408.3
177,4355,4335,4306.7,2770,3001.7,3543.3,6918.3,5800,4785,9421.7
178,4371.7,4350,4323.3,2783.3,3015,3558.3,6941.7,5820,4805,9435
179,4388.3,4366.7,4341.7,2795,3028.3,3571.7,6965,5840,4820,9448.3
180,4405,4381.7,4356.7,2808.3,3041.7,3585,6988.3,5855,4840,9461.7
181,4420,4398.3,4371.7,2818.3,3053.3,3600,7010,5875,4855,9475
182,4436.7,4416.7,4386.7,2831.7,3065,3615,7033.3,5895,4875,9486.7
183,4453.3,4431.7,4403.3,2845,3080,3628.3,7053.3,5915,4890,9498.3
184,4470,4446.7,4418.3,2855,3090,3643.3,7076.7,5935,4910,9511.7
185,4485,4463.3,4435,2870,3105,3656.7,7098.3,5955,4925,9525
186,4500,4481.7,4450,2880,3116.7,3671.7,7120,5975,4945,9535
187,4516.7,4496.7,4466.7,2891.7,3130,3686.7,7141.7,5995,4960,9548.3
188,4533.3,4511.7,4483.3,2903.3,3141.7,3698.3,7163.3,6010,4980,9558.3
189,4548.3,4526.7,4498.3,2916.7,3155,3713.3,7183.3,6030,4995,9570
190,4565,4541.7,4513.3,2926.7,3166.7,3728.3,7206.7,6050,5015,9581.7
191,4581.7,4558.3,4528.3,2940,3178.3,3740,7228.3,6070,5030,9591.7
192,4596.7,4575,4543.3,2950,3193.3,3753.3,7248.3,6090,5050,9603.3
193,4611.7,4590,4558.3,2963.3,3203.3,3768.3,7268.3,6105,5065,9615
194,4628.3,4606.7,4573.3,2975,3218.3,3783.3,7290,6125,5085,9623.3
195,4643.3,4621.7,4590,2986.7,3228.3,3795,7311.7,6145,5100,9635
196,4658.3,4636.7,4605,2996.7,3241.7,3810,7330,6160,5115,9646.7
197,4673.3,4651.7,4620,3011.7,3255,3823.3,7350,6180,5135,9655
198,4690,4665,4635,3021.7,3265,3835,7371.7,6200,5150,9665
199,4705,4680,4650,3033.3,3280,3850,7390,6215,5165,9673.3
200,4720,4696.7,4663.3,3043.3,3290,3865,7410,6235,5185,9685
201,4736.7,4710,4676.7,3058.3,3301.7,3876.7,7430,6250,5200,9693.3
202,4751.7,4725,4691.7,3068.3,3315,3890,7450,6270,5215,9703.3
203,4765,4741.7,4706.7,3080,3326.7,3903.3,7468.3,6290,5235,9711.7
204,4780,4755,4721.7,3090,3336.7,3916.7,7488.3,6305,5250,9721.7
205,4795,4770,4736.7,3101.7,3351.7,3930,7508.3,6325,5265,9730
206,4810,4785,4751.7,3113.3,3361.7,3941.7,7526.7,6340,5280,9738.3
207,4825,4800,4766.7,3125,3373.3,3956.7,7546.7,6360,5300,9748.3
208,4841.7,4815,4780,3136.7,3388.3,3970,7565,6375,5315,9756.7
209,4856.7,4830,4793.3,3148.3,3398.3,3981.7,7583.3,6395,5330,9765
210,4868.3,4845,4808.3,3158.3,3411.7,3995,7603.3,6410,5345,9771.7
211,4883.3,4856.7,4823.3,3170,3421.7,4008.3,7620,6430,5365,9780
212,4898.3,4871.7,4836.7,3180,3433.3,4020,7640,6445,5380,9786.7
213,4913.3,4886.7,4850,3195,3445,4033.3,7658.3,6460,5395,9793.3
214,4928.3,4901.7,4863.3,3205,3456.7,4048.3,7676.7,6480,5410,9796.7
215,4941.7,4916.7,4878.3,3215,3468.3,4058.3,7695,6495,5425,9803.3
216,4956.7,4931.7,4893.3,3226.7,3480,4073.3,7711.7,6510,5440,9810
217,4971.7,4943.3,4905,3236.7,3493.3,4085,7730,6530,5455,9815
218,4985,4956.7,4920,3246.7,3503.3,4098.3,7750,6545,5475,9820
219,4998.3,4971.7,4933.3,3260,3516.7,4111.7,7766.7,6560,5490,9825
220,5013.3,4985,4948.3,3270,3526.7,4123.3,7783.3,6580,5505,9831.7
221,5028.3,5000,4960,3281.7,3538.3,4136.7,7801.7,6595,5520,9836.7
222,5041.7,5011.7,4975,3293.3,3550,4148.3,7816.7,6610,5535,9841.7
223,5055,5026.7,4988.3,3303.3,3561.7,4161.7,7835,6625,5550,9848.3
224,5068.3,5040,5000,3313.3,3573.3,4175,7851.7,6645,5565,9851.7
225,5081.7,5055,5015,3326.7,3585,4185,7868.3,6660,5580,9858.3
226,5096.7,5066.7,5028.3,3336.7,3596.7,4198.3,7885,6675,5595,9861.7
227,5111.7,5081.7,5040,3346.7,3606.7,4210,7903.3,6690,5610,9866.7
228,5123.3,5095,5055,3358.3,3616.7,4223.3,7918.3,6705,5625,9871.7
229,5136.7,5108.3,5068.3,3368.3,3630,4235,7935,6725,5640,9876.7
230,5151.7,5121.7,5081.7,3378.3,3641.7,4248.3,7951.7,6740,5655,9881.7
231,5165,5135,5093.3,3388.3,3651.7,4260,7970,6755,5670,9886.7
232,5178.3,5148.3,5106.7,3403.3,3663.3,4273.3,7983.3,6770,5685,9890
233,5193.3,5161.7,5120,3413.3,3673.3,4283.3,8000,6785,5700,9893.3
234,5205,5175,5131.7,3423.3,3685,4296.7,8016.7,6800,5715,9900
235,5218.3,5188.3,5146.7,3435,3698.3,4308.3,8031.7,6815,5730,9903.3
236,5231.7,5201.7,5158.3,3445,3708.3,4318.3,8050,6830,5745,9908.3
237,5245,5215,5171.7,3455,3718.3,4331.7,8063.3,6845,5760,9911.7
238,5258.3,5226.7,5185,3465,3730,4343.3,8080,6860,5775,9915
239,5271.7,5240,5196.7,3476.7,3740,4355,8093.3,6875,5785,9920
240,5286.7,5253.3,5210,3486.7,3750,4368.3,8110,6890,5800,9925
241,5296.7,5265,5221.7,3496.7,3765,4378.3,8125,6905,5815,9926.7
242,5311.7,5280,5235,3506.7,3775,4390,8140,6920,5830,9928.3
243,5323.3,5290,5246.7,3516.7,3785,4403.3,8155,6935,5845,9931.7
244,5336.7,5305,5260,3528.3,3795,4415,8171.7,6950,5860,9933.3
245,5350,5315,5270,3540,3806.7,4425,8185,6965,5870,9936.7
246,5361.7,5330,5285,3550,3816.7,4438.3,8200,6980,5885,9938.3
247,5376.7,5340,5296.7,3560,3826.7,4450,8215,6995,5900,9938.3
248,5388.3,5355,5308.3,3570,3840,4460,8228.3,7010,5915,9940
249,5401.7,5365,5321.7,3581.7,3850,4470,8241.7,7025,5930,9940
250,5413.3,5380,5333.3,3591.7,3860,4485,8258.3,7040,5940,9938.3
251,5426.7,5390,5346.7,3601.7,3870,4495,8271.7,7050,5955,
252,5438.3,5405,5356.7,3611.7,3881.7,4506.7,8285,7065,5970,
