Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
709,8072.5,8208.3,8105,6575,6930,7456.7,,9675,8900,
710,8077.5,8208.3,8108.3,6578.3,6933.3,7460,,9675,8905,
711,8080,8213.3,8110,6581.7,6938.3,7463.3,,9675,8905,
712,8082.5,8215,8113.3,6586.7,6943.3,7466.7,,9675,8910,
713,8085,8218.3,8115,6590,6948.3,7471.7,,9675,8910,
714,8090,8220,8120,6595,6950,7473.3,,9675,8910,
715,8092.5,8223.3,8120,6600,6953.3,7476.7,,,8915,
716,8095,8225,8125,6600,6958.3,7481.7,,,8915,
717,8100,8228.3,8125,6605,6963.3,7483.3,,,8920,
718,8100,8230,8130,6610,6965,7486.7,,,8920,
719,8105,8233.3,8130,6615,6970,7490,,,8925,
720,8110,8235,8135,6616.7,6975,7495,,,8925,
721,8110,8240,8136.7,6620,6978.3,7495,,,8925,
722,8115,8241.7,8140,6625,6981.7,7500,,,8930,
723,8117.5,8245,8141.7,6630,6985,7505,,,8930,
724,8120,8246.7,8145,6631.7,6990,7505,,,8930,
725,8125,8250,8146.7,6636.7,6995,7510,,,8935,
726,8127.5,8251.7,8150,6640,6996.7,7513.3,,,8935,
727,8130,8253.3,8151.7,6645,7001.7,7515,,,8940,
728,8132.5,8256.7,8155,6646.7,7005,7518.3,,,8940,
729,8135,8258.3,8156.7,6651.7,7010,7523.3,,,8940,
730,8140,8261.7,8161.7,6656.7,7013.3,7526.7,,,8945,
731,8142.5,8263.3,8161.7,6658.3,7016.7,7528.3,,,8945,
732,8145,8266.7,8166.7,6661.7,7021.7,7533.3,,,8945,
733,8147.5,8268.3,8166.7,6666.7,7025,7535,,,8950,
734,8152.5,8273.3,8170,6671.7,7028.3,7538.3,,,8950,
735,8152.5,8273.3,8171.7,6675,7033.3,7541.7,,,8955,
736,8157.5,8278.3,8173.3,6676.7,7038.3,7546.7,,,8955,
737,8160,8278.3,8176.7,6681.7,7040,7548.3,,,8955,
738,8162.5,8281.7,8178.3,6685,7043.3,7551.7,,,8960,
739,8167.5,8283.3,8181.7,6690,7048.3,7556.7,,,8960,
740,8167.5,8286.7,8185,6691.7,7053.3,7556.7,,,8960,
741,8172.5,8288.3,8186.7,6696.7,7055,7561.7,,,8965,
742,8175,8291.7,8188.3,6700,7058.3,7563.3,,,8965,
743,8177.5,8293.3,8191.7,6703.3,7063.3,7566.7,,,8965,
744,8182.5,8296.7,8193.3,6708.3,7068.3,7570,,,8970,
745,8182.5,8298.3,8196.7,6710,7070,7575,,,8970,
746,8187.5,8301.7,8198.3,6715,7073.3,7575,,,8975,
747,8187.5,8301.7,8201.7,6718.3,7078.3,7580,,,8975,
748,8192.5,8306.7,8203.3,6721.7,7083.3,7581.7,,,8975,
749,8197.5,8306.7,8205,6725,7085,7585,,,8980,
750,8197.5,8311.7,8208.3,6730,7088.3,7590,,,8980,
751,8202.5,8311.7,8210,6733.3,7093.3,7591.7,,,8980,
752,8202.5,8315,8213.3,6736.7,7098.3,7595,,,8985,
753,8207.5,8316.7,8215,6740,7100,7598.3,,,8985,
754,8210,8320,8218.3,6743.3,7103.3,7601.7,,,8985,
755,8212.5,8321.7,8220,6746.7,7108.3,7603.3,,,8985,
756,8215,8325,8223.3,6751.7,7113.3,7608.3,,,8990,
757,8217.5,8326.7,8223.3,6755,7115,7608.3,,,8990,
758,8220,8330,8226.7,6756.7,7120,7613.3,,,8995,
759,8225,8331.7,8228.3,6761.7,7123.3,7616.7,,,8995,
760,8227.5,8333.3,8231.7,6766.7,7126.7,7620,,,8995,
761,8230,8335,8233.3,6766.7,7130,7621.7,,,9000,
762,8232.5,8338.3,8236.7,6771.7,7135,7626.7,,,9000,
763,8235,8340,8238.3,6776.7,7136.7,7626.7,,,9000,
764,8240,8343.3,8241.7,6781.7,7140,7631.7,,,9000,
765,8240,8345,8243.3,6781.7,7145,7633.3,,,9005,
766,8245,8345,8246.7,6786.7,7150,7636.7,,,9005,
767,8245,8350,8246.7,6790,7151.7,7640,,,9005,
768,8250,8350,8250,6793.3,7155,7643.3,,,9010,
769,8250,8355,8251.7,6796.7,7160,7645,,,9010,
770,8255,8355,8255,6800,7163.3,7648.3,,,9010,
771,8255,8358.3,8256.7,6803.3,7166.7,7651.7,,,9015,
772,8260,8360,8260,6808.3,7170,7655,,,9015,
773,8262.5,8363.3,8261.7,6810,7175,7656.7,,,9015,
774,8265,8365,8263.3,6813.3,7178.3,7660,,,9020,
775,8270,8366.7,8266.7,6818.3,7180,7665,,,9020,
776,8270,8368.3,8268.3,6820,7185,7666.7,,,9020,
777,8275,8371.7,8270,6823.3,7188.3,7668.3,,,9020,
778,8275,8373.3,8273.3,6828.3,7193.3,7671.7,,,9025,
779,8280,8376.7,8273.3,6831.7,7195,7675,,,9025,
780,8282.5,8378.3,8276.7,6835,7198.3,7678.3,,,9025,
781,8285,8380,8278.3,6838.3,7203.3,7680,,,9030,
782,8287.5,8383.3,8281.7,6841.7,7206.7,7683.3,,,9030,
783,8290,8383.3,8283.3,6846.7,7208.3,7685,,,9030,
784,8292.5,8385,8285,6848.3,7213.3,7690,,,9030,
785,8295,8388.3,8288.3,6851.7,7216.7,7691.7,,,9035,
786,8297.5,8390,8290,6856.7,7218.3,7695,,,9035,
787,8300,8393.3,8293.3,6858.3,7223.3,7696.7,,,9035,
788,8302.5,8395,8293.3,6861.7,7226.7,7700,,,9035,
789,8305,8396.7,8298.3,6866.7,7231.7,7703.3,,,9040,
790,8307.5,8400,8298.3,6870,7233.3,7706.7,,,9040,
791,8312.5,8400,8298.3,6871.7,7238.3,7708.3,,,9040,
792,8312.5,8401.7,8303.3,6876.7,7240,7711.7,,,9045,
793,8317.5,8405,8303.3,6878.3,7243.3,7713.3,,,9045,
794,8317.5,8406.7,8308.3,6881.7,7248.3,7718.3,,,9045,
795,8322.5,8410,8308.3,6886.7,7251.7,7720,,,9045,
796,8322.5,8411.7,8310,6888.3,7255,7723.3,,,9050,
797,8327.5,8413.3,8313.3,6893.3,7258.3,7725,,,9050,
798,8327.5,8415,8315,6896.7,7260,7728.3,,,9050,
799,8330,8416.7,8316.7,6898.3,7265,7731.7,,,9050,
800,8332.5,8420,8320,6903.3,7268.3,7733.3,,,9055,
801,8335,8421.7,8320,6905,7270,7736.7,,,9055,
802,8337.5,8423.3,8323.3,6908.3,7275,7738.3,,,9055,
803,8340,8425,8325,6913.3,7280,7741.7,,,9055,
804,8342.5,8428.3,8326.7,6913.3,7281.7,7745,,,9060,
805,8345,8428.3,8330,6918.3,7285,7746.7,,,9060,
806,8347.5,8431.7,8330,6923.3,7290,7750,,,9060,
807,8350,8433.3,8335,6923.3,7290,7751.7,,,9060,
808,8352.5,8435,8335,6928.3,7295,7755,,,9060,
809,8355,8438.3,8336.7,6931.7,7300,7760,,,9065,
810,8357.5,8438.3,8340,6935,7300,7760,,,9065,
811,8360,8441.7,8340,6938.3,7305,7765,,,9065,
812,8362.5,8443.3,8343.3,6941.7,7310,7765,,,9065,
813,8365,8445,8345,6943.3,7311.7,7770,,,9065,
814,8367.5,8446.7,8348.3,6948.3,7315,7771.7,,,9065,
815,8370,8448.3,8350,6950,7320,7773.3,,,9065,
816,8372.5,8451.7,8350,6955,7321.7,7778.3,,,9065,
817,8375,8453.3,8353.3,6956.7,7325,7778.3,,,9065,
818,8375,8453.3,8355,6960,7330,7783.3,,,9065,
819,8380,8456.7,8356.7,6965,7331.7,7783.3,,,9065,
820,8380,8458.3,8360,6966.7,7335,7788.3,,,9065,
821,8385,8461.7,8360,6970,7340,7788.3,,,9065,
822,8387.5,8461.7,8363.3,6973.3,7341.7,7793.3,,,9065,
823,8390,8465,8365,6975,7345,7795,,,9065,
824,8390,8466.7,8366.7,6980,7348.3,7798.3,,,9065,
825,8395,8466.7,8368.3,6983.3,7351.7,7801.7,,,9065,
826,8395,8471.7,8371.7,6985,7356.7,7801.7,,,9065,
827,8397.5,8471.7,8371.7,6988.3,7358.3,7806.7,,,9065,
828,8400,8471.7,8373.3,6993.3,7361.7,7806.7,,,9065,
829,8402.5,8476.7,8376.7,6995,7365,7811.7,,,9065,
830,8405,8476.7,8378.3,6998.3,7366.7,7813.3,,,9065,
831,8407.5,8478.3,8378.3,7001.7,7371.7,7816.7,,,9065,
832,8410,8481.7,8381.7,7003.3,7375,7818.3,,,9065,
833,8412.5,8481.7,8383.3,7008.3,7376.7,7820,,,9065,
834,8412.5,8485,8386.7,7011.7,7381.7,7823.3,,,9065,
835,8417.5,8486.7,8386.7,7013.3,7385,7825,,,9065,
836,8417.5,8488.3,8390,7016.7,7386.7,7828.3,,,9065,
837,8422.5,8490,8391.7,7018.3,7391.7,7830,,,9065,
838,8422.5,8491.7,8391.7,7023.3,7395,7833.3,,,9065,
839,8427.5,8493.3,8395,7025,7396.7,7835,,,9065,
840,8427.5,8495,8396.7,7028.3,7400,7838.3,,,9065,
841,8430,8496.7,8398.3,7031.7,7403.3,7841.7,,,9065,
842,8432.5,8500,8400,7035,7406.7,7843.3,,,9065,
843,8435,8500,8401.7,7038.3,7410,7846.7,,,9065,
844,8437.5,8501.7,8405,7040,7413.3,7848.3,,,9065,
845,8440,8505,8405,7045,7415,7850,,,9065,
846,8442.5,8505,8408.3,7046.7,7420,7853.3,,,9065,
847,8442.5,8506.7,8410,7050,7423.3,7855,,,9065,
848,8445,8510,8410,7055,7425,7858.3,,,9065,
849,8447.5,8510,8413.3,7055,7428.3,7860,,,9065,
850,8450,8513.3,8415,7060,7431.7,7863.3,,,9065,
851,8452.5,8515,8415,7061.7,7435,7865,,,9065,
852,8455,8516.7,8418.3,7065,7438.3,7868.3,,,9065,
853,8457.5,8518.3,8420,7068.3,7441.7,7870,,,9065,
854,8460,8520,8421.7,7070,7443.3,7871.7,,,9065,
855,8460,8521.7,8423.3,7075,7446.7,7875,,,9065,
856,8465,8523.3,8425,7076.7,7450,7878.3,,,9065,
857,8465,8523.3,8426.7,7080,7453.3,7878.3,,,9065,
858,8470,8526.7,8430,7081.7,7456.7,7883.3,,,9065,
859,8470,8528.3,8430,7086.7,7460,7883.3,,,9065,
860,8470,8528.3,8431.7,7090,7461.7,7888.3,,,9065,
861,8475,8531.7,8433.3,7091.7,7466.7,7888.3,,,9065,
862,8475,8533.3,8436.7,7096.7,7468.3,7891.7,,,9065,
863,8480,8533.3,8436.7,7096.7,7471.7,7893.3,,,9065,
864,8480,8535,8438.3,7101.7,7476.7,7896.7,,,9065,
865,8482.5,8538.3,8441.7,7101.7,7476.7,7898.3,,,9065,
866,8485,8540,8441.7,7106.7,7481.7,7901.7,,,9065,
867,8485,8540,8443.3,7108.3,7483.3,7901.7,,,9065,
868,8490,8543.3,8446.7,7111.7,7486.7,7906.7,,,9065,
869,8490,8545,8446.7,7116.7,7490,7906.7,,,9065,
870,8492.5,8545,8448.3,7116.7,7491.7,7911.7,,,9065,
871,8495,8548.3,8451.7,7121.7,7496.7,7911.7,,,9065,
872,8497.5,8550,8451.7,7123.3,7498.3,7915,,,9065,
873,8497.5,8550,8453.3,7126.7,7501.7,7916.7,,,9060,
874,8500,8551.7,8456.7,7128.3,7505,7920,,,,
875,8502.5,8555,8456.7,7133.3,7508.3,7921.7,,,,
876,8505,8555,8458.3,7135,7511.7,7925,,,,
877,8507.5,8556.7,8461.7,7138.3,7513.3,7925,,,,
878,8507.5,8560,8461.7,7141.7,7516.7,7930,,,,
879,8512.5,8560,8463.3,7143.3,7518.3,7930,,,,
880,8512.5,8561.7,8466.7,7148.3,7523.3,7933.3,,,,
881,8515,8563.3,8466.7,7148.3,7526.7,7935,,,,
882,8517.5,8565,8468.3,7153.3,7528.3,7938.3,,,,
883,8517.5,8566.7,8471.7,7153.3,7533.3,7940,,,,
884,8522.5,8568.3,8471.7,7158.3,7533.3,7943.3,,,,
885,8522.5,8568.3,8473.3,7161.7,7538.3,7945,,,,
886,8525,8571.7,8475,7163.3,7538.3,7946.7,,,,
887,8527.5,8573.3,8476.7,7166.7,7543.3,7948.3,,,,
888,8527.5,8573.3,8478.3,7168.3,7548.3,7953.3,,,,
889,8532.5,8576.7,8478.3,7173.3,7548.3,7953.3,,,,
890,8532.5,8578.3,8483.3,7175,7553.3,7955,,,,
891,8535,8578.3,8483.3,7178.3,7553.3,7958.3,,,,
892,8537.5,8580,8483.3,7180,7558.3,7960,,,,
893,8537.5,8583.3,8488.3,7183.3,7560,7961.7,,,,
894,8540,8583.3,8488.3,7185,7563.3,7965,,,,
895,8542.5,8583.3,8488.3,7190,7566.7,7966.7,,,,
896,8545,8586.7,8491.7,7191.7,7568.3,7970,,,,
897,8545,8588.3,8493.3,7195,7573.3,7971.7,,,,
898,8550,8588.3,8493.3,7196.7,7575,7973.3,,,,
899,8550,8590,8496.7,7200,7578.3,7976.7,,,,
900,8552.5,8591.7,8498.3,7201.7,7580,7978.3,,,,
901,8555,8593.3,8498.3,7205,7585,7978.3,,,,
902,8555,8595,8500,7208.3,7585,7983.3,,,,
903,8557.5,8596.7,8501.7,7210,7590,7983.3,,,,
904,8560,8598.3,8503.3,7213.3,7591.7,7986.7,,,,
905,8560,8600,8505,7215,7595,7988.3,,,,
906,8565,8601.7,8506.7,7218.3,7596.7,7991.7,,,,
907,8565,8601.7,8508.3,7221.7,7600,7993.3,,,,
908,8565,8603.3,8508.3,7225,7605,7995,,,,
909,8570,8606.7,8510,7226.7,7605,7996.7,,,,
910,8570,8606.7,8511.7,7228.3,7610,8000,,,,
911,8572.5,8606.7,8513.3,7231.7,7610,8001.7,,,,
912,8575,8610,8515,7235,7615,8003.3,,,,
913,8577.5,8611.7,8516.7,7238.3,7618.3,8006.7,,,,
914,8577.5,8611.7,8518.3,7241.7,7620,8006.7,,,,
915,8580,8611.7,8520,7243.3,7625,8010,,,,
916,8582.5,8615,8520,7246.7,7625,8011.7,,,,
917,8585,8616.7,8521.7,7248.3,7630,8015,,,,
918,8585,8616.7,8525,7251.7,7631.7,8015,,,,
919,8587.5,8620,8525,7253.3,7635,8018.3,,,,
920,8587.5,8620,8525,7256.7,7636.7,8020,,,,
921,8590,8621.7,8528.3,7258.3,7640,8021.7,,,,
922,8592.5,8621.7,8530,7261.7,7641.7,8025,,,,
923,8595,8625,8530,7265,7645,8026.7,,,,
924,8597.5,8625,8533.3,7266.7,7648.3,8028.3,,,,
925,8597.5,8626.7,8533.3,7270,7651.7,8031.7,,,,
926,8600,8628.3,8535,7271.7,7653.3,8031.7,,,,
927,8602.5,8630,8536.7,7275,7656.7,8035,,,,
928,8602.5,8630,8538.3,7276.7,7658.3,8036.7,,,,
929,8602.5,8631.7,8540,7280,7661.7,8038.3,,,,
930,8607.5,8635,8540,7283.3,7663.3,8041.7,,,,
931,8607.5,8635,8543.3,7285,7666.7,8041.7,,,,
932,8610,8635,8543.3,7288.3,7670,8045,,,,
933,8612.5,8638.3,8545,7290,7671.7,8045,,,,
934,8612.5,8640,8546.7,7293.3,7675,8050,,,,
935,8615,8640,8548.3,7295,7676.7,8050,,,,
936,8617.5,8641.7,8548.3,7298.3,7680,8053.3,,,,
937,8617.5,8643.3,8551.7,7300,7681.7,8055,,,,
938,8620,8645,8551.7,7303.3,7686.7,8056.7,,,,
939,8622.5,8645,8553.3,7306.7,7688.3,8058.3,,,,
940,8625,8646.7,8555,7308.3,7691.7,8060,,,,
941,8625,8648.3,8556.7,7311.7,7693.3,8063.3,,,,
942,8627.5,8648.3,8556.7,7311.7,7696.7,8063.3,,,,
943,8630,8650,8558.3,7316.7,7700,8066.7,,,,
944,8630,8651.7,8560,7316.7,7701.7,8068.3,,,,
945,8632.5,8653.3,8561.7,7321.7,7705,8070,,,,
946,8635,8653.3,8561.7,7321.7,7706.7,8073.3,,,,
947,8635,8653.3,8565,7326.7,7710,8073.3,,,,
948,8637.5,8658.3,8565,7326.7,7713.3,8075,,,,
949,8640,8658.3,8566.7,7331.7,7715,8078.3,,,,
950,8640,8658.3,8566.7,7331.7,7718.3,8080,,,,
951,8642.5,8660,8570,7336.7,7720,8081.7,,,,
952,8645,8663.3,8570,7338.3,7723.3,8085,,,,
953,8645,8663.3,8571.7,7341.7,7725,8085,,,,
954,8645,8663.3,8573.3,7343.3,7728.3,8088.3,,,,
955,8650,8665,8575,7346.7,7730,8090,,,,
956,8650,8665,8575,7348.3,7733.3,8091.7,,,,
957,8650,8668.3,8576.7,7351.7,7736.7,8093.3,,,,
958,8655,8668.3,8578.3,7353.3,7738.3,8095,,,,
959,8655,8670,8580,7355,7741.7,8098.3,,,,
960,8657.5,8670,8580,7358.3,7743.3,8098.3,,,,
961,8657.5,8671.7,8581.7,7361.7,7746.7,8103.3,,,,
962,8660,8673.3,8585,7363.3,7748.3,8103.3,,,,
963,8662.5,8675,8585,7363.3,7751.7,8103.3,,,,
964,8662.5,8675,8585,7368.3,7753.3,8106.7,,,,
965,8665,8676.7,8586.7,7368.3,7756.7,8108.3,,,,
966,8665,8676.7,8588.3,7373.3,7758.3,8110,,,,
967,8667.5,8680,8590,7373.3,7761.7,8111.7,,,,
968,8670,8680,8590,7378.3,7763.3,8113.3,,,,
969,8672.5,8681.7,8591.7,7378.3,7766.7,8116.7,,,,
970,8672.5,8681.7,8593.3,7383.3,7770,8116.7,,,,
971,8675,8683.3,8595,7385,7771.7,8120,,,,
972,8677.5,8685,8596.7,7388.3,7775,8121.7,,,,
973,8677.5,8686.7,8596.7,7390,7776.7,8123.3,,,,
974,8677.5,8686.7,8596.7,7393.3,7780,8126.7,,,,
975,8682.5,8688.3,8600,7395,7781.7,8126.7,,,,
976,8682.5,8688.3,8601.7,7396.7,7783.3,8128.3,,,,
977,8682.5,8691.7,8601.7,7400,7786.7,8130,,,,
978,8685,8691.7,8601.7,7400,7788.3,8133.3,,,,
979,8687.5,8693.3,8601.7,7405,7791.7,8135,,,,
980,8687.5,8693.3,8606.7,7405,7793.3,8135,,,,
981,8690,8693.3,8606.7,7410,7795,8138.3,,,,
982,8692.5,8695,8606.7,7410,7798.3,8140,,,,
983,8692.5,8698.3,8606.7,7415,7801.7,8141.7,,,,
984,8695,8698.3,8611.7,7415,7803.3,8141.7,,,,
985,8695,8698.3,8611.7,7418.3,7805,8145,,,,
986,8697.5,8700,8611.7,7420,7808.3,8146.7,,,,
987,8697.5,8701.7,8613.3,7423.3,7810,8146.7,,,,
988,8700,8703.3,8615,7425,7813.3,8151.7,,,,
989,8700,8703.3,8616.7,7426.7,7815,8151.7,,,,
990,8702.5,8705,8616.7,7430,7818.3,8155,,,,
991,8705,8705,8618.3,7431.7,7821.7,8155,,,,
992,8705,8706.7,8618.3,7435,7823.3,8156.7,,,,
993,8705,8706.7,8621.7,7436.7,7826.7,8160,,,,
994,8710,8708.3,8621.7,7438.3,7828.3,8160,,,,
995,8710,8710,8623.3,7441.7,7830,8163.3,,,,
996,8710,8711.7,8623.3,7443.3,7833.3,8165,,,,
997,8715,8711.7,8623.3,7446.7,7835,8166.7,,,,
998,8715,8711.7,8626.7,7446.7,7838.3,8168.3,,,,
999,8715,8711.7,8628.3,7451.7,7840,8170,,,,
1000,8715,8715,8628.3,7451.7,7843.3,8171.7,,,,
1001,8720,8716.7,8628.3,7456.7,7843.3,8171.7,,,,
1002,8720,8716.7,8630,7456.7,7846.7,8175,,,,
1003,8720,8716.7,8631.7,7460,7850,8176.7,,,,
1004,8722.5,8718.3,8633.3,7461.7,7851.7,8178.3,,,,
1005,8725,8720,8633.3,7463.3,7855,8181.7,,,,
1006,8725,8720,8633.3,7466.7,7856.7,8181.7,,,,
1007,8727.5,8721.7,8636.7,7468.3,7860,8183.3,,,,
1008,8727.5,8721.7,8636.7,7471.7,7860,8185,,,,
1009,8730,8723.3,8638.3,7473.3,7863.3,8186.7,,,,
1010,8730,8725,8638.3,7475,7865,8188.3,,,,
1011,8732.5,8725,8640,7478.3,7870,8190,,,,
1012,8732.5,8725,8641.7,7480,7870,8190,,,,
1013,8735,8725,8641.7,7483.3,7873.3,8195,,,,
1014,8737.5,8728.3,8643.3,7483.3,7875,8195,,,,
1015,8737.5,8730,8645,7488.3,7876.7,8195,,,,
1016,8737.5,8730,8645,7488.3,7880,8200,,,,
1017,8740,8730,8646.7,7490,7881.7,8200,,,,
1018,8742.5,8730,8646.7,7493.3,7885,8201.7,,,,
1019,8742.5,8733.3,8646.7,7493.3,7885,8203.3,,,,
1020,8742.5,8733.3,8650,7498.3,7890,8205,,,,
1021,8747.5,8733.3,8650,7498.3,7890,8206.7,,,,
1022,8747.5,8733.3,8651.7,7503.3,7895,8208.3,,,,
1023,8747.5,8733.3,8651.7,7503.3,7895,8208.3,,,,
1024,8750,8736.7,8653.3,7506.7,7898.3,8213.3,,,,
1025,8752.5,8736.7,8655,7508.3,7900,8213.3,,,,
1026,8752.5,8738.3,8656.7,7510,7901.7,8215,,,,
1027,8752.5,8738.3,8656.7,7513.3,7905,8215,,,,
1028,8755,8738.3,8658.3,7515,7906.7,8218.3,,,,
1029,8755,8740,8658.3,7516.7,7910,8220,,,,
1030,8757.5,8741.7,8658.3,7520,7911.7,8220,,,,
1031,8760,8741.7,8660,7521.7,7915,8223.3,,,,
1032,8760,8741.7,8661.7,7525,7916.7,8225,,,,
1033,8760,8741.7,8663.3,7525,7918.3,8225,,,,
1034,8762.5,8743.3,8663.3,7528.3,7921.7,8228.3,,,,
1035,8765,8745,8663.3,7530,7921.7,8228.3,,,,
1036,8765,8745,8665,7531.7,7926.7,8230,,,,
1037,8765,8745,8668.3,7535,7926.7,8233.3,,,,
1038,8770,8745,8668.3,7535,7931.7,8233.3,,,,
1039,8770,8743.3,8668.3,7540,7931.7,8235,,,,
1040,8770,8747.5,8668.3,7540,7936.7,8238.3,,,,
1041,8770,8750,8670,7543.3,7936.7,8238.3,,,,
1042,8772.5,8750,8673.3,7545,7940,8240,,,,
1043,8775,8750,8673.3,7546.7,7941.7,8241.7,,,,
1044,8775,8750,8673.3,7550,7941.7,8243.3,,,,
1045,8775,8752.5,8673.3,7551.7,7946.7,8245,,,,
1046,8777.5,8755,8675,7553.3,7946.7,8246.7,,,,
1047,8780,8755,8675,7556.7,7951.7,8248.3,,,,
1048,8780,8755,8678.3,7556.7,7951.7,8250,,,,
1049,8780,8755,8678.3,7560,7953.3,8251.7,,,,
1050,8782.5,8755,8678.3,7561.7,7956.7,8251.7,,,,
1051,8782.5,8757.5,8680,7563.3,7958.3,8255,,,,
1052,8785,8760,8680,7566.7,7961.7,8256.7,,,,
1053,8785,8760,8680,7566.7,7963.3,8256.7,,,,
1054,8787.5,8760,8681.7,7571.7,7966.7,8258.3,,,,
1055,8787.5,8760,8683.3,7571.7,7968.3,8261.7,,,,
1056,8787.5,8762.5,8685,7575,7968.3,8263.3,,,,
1057,8792.5,8762.5,8685,7576.7,7971.7,8263.3,,,,
1058,8792.5,8765,8685,7578.3,7973.3,8265,,,,
1059,8792.5,8765,8686.7,7581.7,7976.7,8268.3,,,,
,8792.5,8765,8686.7,7583.3,7978.3,8268.3,,,,
,8797.5,8765,8688.3,7585,7978.3,8268.3,,,,
,8797.5,8767.5,8690,7586.7,7983.3,8271.7,,,,
,8797.5,8767.5,8690,7588.3,7983.3,8273.3,,,,
,8797.5,8767.5,8690,7590,7988.3,8275,,,,
,8800,8770,8691.7,7593.3,7988.3,8276.7,,,,
,8800,8770,8693.3,7593.3,7993.3,8276.7,,,,
,8802.5,8770,8693.3,7596.7,7993.3,8276.7,,,,
,8802.5,8772.5,8693.3,7598.3,7993.3,8281.7,,,,
,8802.5,8772.5,8693.3,7600,7998.3,8281.7,,,,
,8805,8772.5,8696.7,7603.3,7998.3,8281.7,,,,
,8807.5,8775,8698.3,7603.3,8003.3,8285,,,,
,8807.5,8775,8698.3,7608.3,8003.3,8286.7,,,,
,8807.5,8775,8698.3,7608.3,8005,8286.7,,,,
,8810,8777.5,8698.3,7610,8008.3,8288.3,,,,
,8810,8777.5,8698.3,7613.3,8010,8290,,,,
,8812.5,8777.5,8700,7613.3,8013.3,8293.3,,,,
,8812.5,8777.5,8701.7,7616.7,8013.3,8293.3,,,,
,8815,8780,8701.7,7618.3,8015,8295,,,,
,8815,8780,8701.7,7620,8018.3,8295,,,,
,8815,8782.5,8701.7,7623.3,8020,8296.7,,,,
,8815,8782.5,8703.3,7625,8023.3,8300,,,,
,8820,8782.5,8703.3,7626.7,8025,8301.7,,,,
,8820,8782.5,8705,7630,8026.7,8301.7,,,,
,8820,8782.5,8705,7630,8030,8301.7,,,,
,8820,8785,8706.7,7631.7,8030,8306.7,,,,
,8822.5,8785,8708.3,7635,8033.3,8306.7,,,,
,8822.5,8787.5,8706.7,7635,8035,8306.7,,,,
,8825,8787.5,8635,7640,8035,8310,,,,
,8825,8787.5,8635,7640,8040,8311.7,,,,
,8827.5,8787.5,8637.5,7643.3,8040,8311.7,,,,
,8827.5,8787.5,8637.5,7645,8045,8315,,,,
,8827.5,8790,8640,7645,8045,8315,,,,
,8830,8792.5,8640,7648.3,8045,8315,,,,
,8830,8792.5,8640,7650,8050,8318.3,,,,
,8832.5,8792.5,8640,7651.7,8050,8320,,,,
,8832.5,8792.5,8640,7655,8055,8320,,,,
,8832.5,8792.5,8645,7655,8055,8321.7,,,,
,8832.5,8792.5,8645,7656.7,8056.7,8323.3,,,,
,8837.5,8792.5,8645,7660,8060,8325,,,,
,8837.5,8797.5,8645,7661.7,8060,8326.7,,,,
,8837.5,8797.5,8645,7661.7,8063.3,8326.7,,,,
,8837.5,8797.5,8645,7666.7,8065,8328.3,,,,
,8840,8797.5,8647.5,7666.7,8066.7,8331.7,,,,
,8840,8797.5,8647.5,7668.3,8070,8331.7,,,,
,8842.5,8797.5,8650,7671.7,8071.7,8333.3,,,,
,8842.5,8797.5,8650,7671.7,8073.3,8335,,,,
,8842.5,8797.5,8650,7676.7,8076.7,8335,,,,
,8845,8800,8650,7676.7,8076.7,8336.7,,,,
,8845,8800,8652.5,7676.7,8080,8340,,,,
,8845,8802.5,8652.5,7681.7,8081.7,8340,,,,
,8847.5,8802.5,8652.5,7681.7,8081.7,8340,,,,
,8847.5,8802.5,8655,7683.3,8086.7,8340,,,,
,8850,8802.5,8655,7686.7,8086.7,8345,,,,
,8850,8802.5,8655,7688.3,8088.3,8345,,,,
,8850,8802.5,8657.5,7688.3,8091.7,8345,,,,
,8850,8802.5,8657.5,7691.7,8091.7,8348.3,,,,
,8855,8802.5,8657.5,7693.3,8096.7,8348.3,,,,
,8855,8805,8657.5,7693.3,8096.7,8350,,,,
,8855,8805,8657.5,7698.3,8096.7,8351.7,,,,
,8855,8805,8657.5,7698.3,8101.7,8353.3,,,,
,8855,8805,8660,7698.3,8101.7,8353.3,,,,
,8857.5,8805,8660,7703.3,8105,8356.7,,,,
,8860,8805,8662.5,7703.3,8106.7,8358.3,,,,
,8860,8805,8660,7706.7,8108.3,8358.3,,,,
,8860,8805,8662.5,7708.3,8110,8360,,,,
,8860,8805,8662.5,7708.3,8111.7,8360,,,,
,8862.5,8805,8665,7711.7,8113.3,8361.7,,,,
,8862.5,8805,8665,7713.3,8116.7,8365,,,,
,8862.5,8805,8665,7715,8118.3,8365,,,,
,8865,8805,8662.5,7716.7,8120,8365,,,,
,8865,8805,8720,7718.3,8121.7,8366.7,,,,
,8867.5,8805,8720,7720,8123.3,8370,,,,
,8867.5,8805,8720,7721.7,8126.7,8370,,,,
,8867.5,8805,8725,7725,8128.3,8370,,,,
,8867.5,8805,8725,7725,8128.3,8373.3,,,,
,8870,8805,8725,7726.7,8131.7,8373.3,,,,
,8872.5,8805,8725,7730,8133.3,8373.3,,,,
,8872.5,8805,8725,7730,8135,8378.3,,,,
,8872.5,8805,8725,7733.3,8138.3,8378.3,,,,
,8872.5,8805,8725,7735,8138.3,8378.3,,,,
