elapsed time (min),D11,D12,D13,D21,D22,D23,D31,D32,D33
1,3.3,4.7,1.7,0.7,1.7,1.3,3,3,4
2,6.3,8.7,4.3,2,3.3,2.7,8,8,8
3,9,12,7.3,3.3,5.3,5,12.7,12.3,11
4,11.7,15.7,9.7,5,7,7,17.7,17,14
5,14.7,19.7,12.7,6.3,8.7,8.7,22.3,21.7,18
6,17.7,23.7,15.3,8,10.3,10.3,26.3,25.7,21
7,20.7,27.7,18.3,9.7,12.3,12.7,31.3,30.3,25
8,23.3,31,20.7,11,13.7,14,35.3,34.7,28
9,26.3,35,23.3,12.3,15.7,16,40,39,31
10,29,38.7,26.7,14.3,17.3,18,44.7,43.7,35
11,32,42.3,29,15.7,19,19.7,49.3,48.3,39
12,34.7,46.3,32,17,20.7,21.3,53.7,52.7,42
13,37,50,34.3,18.7,22.3,23.7,57.7,57,45
14,40.3,53.3,37,20,24,25,62.7,61.3,48
15,43.3,57.3,39.7,21.7,26,27.3,66.7,65.7,51
16,45.3,61,42.7,23.3,27.7,28.7,71.3,70,55
17,48.3,64.7,45,24.7,29,30.7,75.7,74,58
18,51,68.3,47.7,26,31,32.7,80,78.7,62
19,53.3,72,51,27.7,32.3,34.3,84,83,65
20,56.7,75.7,53.3,28.7,34,36,88.7,87.3,68
21,59.3,79.3,55.7,30.7,36.3,38.3,93.3,91.7,72
22,61.7,82.7,58.7,31.7,37.7,39.7,97.3,95.7,75
23,64.7,86.7,61,33.7,39,41.7,101.7,99.7,79
24,67,90,63.7,35,41,43.7,106,104,81
25,69.7,93.7,66.7,36.7,42.7,45,110.3,108.7,85
26,72.3,97.7,69.3,38,44,47,114.7,112.7,88
27,75,101,71.7,39.3,46,48.7,118.7,116.7,92
28,78,104,74.3,41,47.7,50.7,122.7,120.7,95
29,80.3,108.3,77,42.3,49.3,52,127,125.3,98
30,83,112,79.3,44.3,51,54.3,131.7,129.3,101
31,85.7,115.3,81.7,45.7,52.3,56,135.7,133.3,104
32,88.3,119,84.3,47,54,57.7,140,137.3,108
33,90.7,122.3,87,48.7,56,59.3,144,141.3,111
34,93.3,126,89.7,49.7,57.7,61.3,148,145.7,115
35,96,129.3,92,51.3,59,63,152.3,149.7,118
36,98.7,132.7,94.7,53,61,64.7,156.3,153.7,121
37,101,136.7,97.3,54.3,62.3,66.7,160.7,157.7,124
38,104,139.7,100,56,64.3,68.3,164.7,161.7,127
39,106.3,143.3,102,57.3,65.7,70,169,165.7,130
40,108.7,147,104.3,58.7,67.3,71.7,173,169.7,133
41,111.3,150.7,107.7,60.3,69.3,73.7,177,174,137
42,114,154,110,61.7,70.7,75.3,180.7,177.3,140
43,116,157,112,63,72.3,77,185.3,181.7,143
44,119,160.7,114.3,64.7,74,78.7,189,185.3,146
45,121.3,164,117.3,66,75.3,80.7,193,189.3,149
46,124,167.7,119.7,67.7,77,82.3,196.7,193,152
47,126.7,171,122,69,79,84,201,197.3,156
48,128.7,174,124.3,70.7,80.7,85.7,205,201,159
49,131.3,177.7,127,72,82,87.3,209,204.3,162
50,134,181,129.7,73.7,83.7,89,213,209,165
51,136,184.3,132,75,85.3,91,216.7,212,168
52,139,188,134.3,76.7,86.7,92.3,220.3,216.3,171
53,141.3,191.3,136.7,77.7,88.7,94.3,224.7,219.7,174
54,143.7,194.7,139,79.3,90.3,96,228.3,223.7,177
55,146.7,197.7,141.3,81,91.7,98,232,227.3,180
56,148.7,201.3,143.7,82,93.7,99.7,236.3,231,183
57,151,204.7,146,83.7,95,101,240,235.3,186
58,153.3,207.7,149,85,96.7,103,244,238.7,190
59,156.3,211,151.3,86.3,98.3,104.3,247.7,242,192
60,158.3,214,153.7,87.7,100,106.3,251.7,246.3,196
61,161.3,217.7,155.7,89.3,101.3,108,255.3,249.7,199
62,163.3,221,158,91,103.3,109.7,258.7,253.3,202
63,166,224.3,160.3,92,104.7,111.7,262.7,257,205
64,168,227.3,162.7,93.7,106.3,113,266.3,260.7,208
65,170.7,230.3,165,95.3,108.3,114.3,270,264.3,211
66,173,234,167.7,96.7,109.7,116.3,274,268,214
67,175,237,170,98,111,118.7,277.3,271.7,217
68,177.7,240.3,172,99.3,113,120,281.3,275,220
69,180,243.7,174.7,101,114.3,121.7,285.3,278.7,223
70,182.7,246.7,176.7,102,115.7,123.3,288.7,282.3,226
71,184.7,249.7,179,103.7,117.3,125,292.3,286,229
72,187.3,253,181.3,105.3,119.3,126.3,295.7,289,232
73,189.7,256.3,183.7,106.7,120.7,128.3,299.7,292.7,234
74,191.7,259.7,185.7,108.3,122,129.7,303.3,296,238
75,194.3,262.7,188,109.7,124,131.7,307,299.7,241
76,196.3,265.7,190.7,111,125.3,133.3,310.7,303.3,243
77,199,269,192.7,112.7,126.7,135,314,306.7,246
78,201.3,272,195.3,113.7,129,136.7,317.3,310.3,249
79,203.3,275,197.7,115.7,130,138.3,321,313.7,252
80,205.7,278,200,116.7,131.7,139.7,324.7,317,255
81,208.7,281.3,202,118,133,141.7,328,320.3,258
82,210.7,284.3,204,120,135,143,331.3,323.7,261
83,212.7,287.3,206.3,120.7,136.3,144.7,335,327.3,264
84,215,290.3,208.7,122.3,137.7,146.3,338.7,330.7,267
85,217.3,293.7,211,123.7,139.7,148,341.7,333.7,269
86,219.3,296.3,212.7,125.3,141.3,150,345.3,337.3,272
87,222,299.7,215.7,126.3,142.7,151.7,349,340.7,275
88,224.3,302.7,217.3,128.3,144,153,352.7,344,278
89,226.3,305.7,219.7,129.7,145.7,154.7,356,347,281
90,228.3,308.7,222,130.7,147.3,156.3,359.3,350.3,284
91,231,312,224,132.3,148.7,158,362.7,353.7,286
92,233.3,314.7,226.3,133.7,150.3,159.7,366,357,290
93,235.3,317.7,228.3,135,152,161,369,360.3,292
94,237.3,321,230.7,136.3,153.7,162.7,372.3,363.3,295
95,239.7,323.7,232.7,138,155,164.3,376,366.7,298
96,242,326.3,235,139,156.7,166,379.3,370,300
97,244,329.7,237,141,158.3,167.7,382.3,373,303
98,246.3,332.3,239.3,142.3,159.7,169.3,385.7,376,306
99,248.7,335.3,241.7,143.3,161,170.7,389.3,379.3,309
100,251,338.7,243.3,145,162.7,172.7,392.3,382,312
101,253.3,341.3,245.7,146.3,164.3,174,395.7,385.7,315
102,255.3,344.7,248,147.7,166,175.7,399,388.7,317
103,257.7,347,250.3,148.7,167.3,177.3,402.3,391.7,320
104,259.3,350,252.3,150.7,169,178.7,405.7,395,323
105,261.7,352.7,254.3,151.7,170.3,180.3,408.7,397.7,325
106,264,356,256.7,153.3,171.7,182,411.7,401,328
107,266.3,359,258.3,155,173,183.7,415,404,331
108,268.3,361.3,260.3,156,174.7,185,418,406.7,333
109,270.3,364.3,262.7,157,176.7,187,421.3,410,337
110,272.3,367,264.7,159,178,188.3,424.7,413.3,340
111,274.3,370.3,267,160.3,179.3,190.3,427.7,416,342
112,276.7,372.7,268.7,161.3,180.7,191.7,431,419.3,344
113,278.7,375.7,271,163.3,182.3,193,433.7,422,347
114,281,378.3,273.3,164.3,183.7,194.7,437,425,350
115,283,381,275.3,165.7,185.7,196.3,439.7,428.3,353
116,285,383.7,277.3,167,187,198,443.3,430.7,355
117,287,387,279.3,168.7,188.3,199.3,446,434.3,358
118,289,390,281.7,169.7,190,201.3,449,436.7,361
119,291.3,392.3,283.3,171,191.7,202.7,452.3,439.7,364
120,293.3,395.3,285.7,173,193,204.3,455,442.7,366
121,295.3,398,287.7,174,194.7,206,458,445.3,369
122,297.3,400.7,289.3,175.3,196.3,207.3,461,448.3,371
123,299.7,403.3,291.3,176.7,197.7,209,464.3,451.3,374
124,302,405.7,293.3,178,199,210.7,467.3,454,377
125,303.7,408.7,295.7,179.3,200.3,212.3,470.3,457,379
126,305.7,411.3,297.7,181,202,213.7,473,459.7,381
127,307.7,414,300,182.3,203.3,215.7,476,462.3,384
128,309.7,416.7,301.7,183.7,204.7,217,478.7,465.7,387
129,311.7,419.7,303.3,184.7,206.3,218.3,481.7,468,389
130,313.3,422,305.7,186.3,208,220,484.7,470.7,392
131,315.7,425,307.3,187.7,209.7,221.3,487.3,473.7,395
132,317.7,427.3,309.7,189,211,222.7,490.3,476.3,397
133,319.7,430,312,190,212.3,224.3,493.3,479,400
134,321.7,432.7,313.7,192,213.7,226,496.3,481.7,402
135,323.7,435.3,315.3,193,215,227.7,499,484.3,405
136,325.7,438,317.7,194.3,216.7,229,502,487,407
137,327.3,440.7,319.7,195.7,218,231,505,489.7,410
138,329.3,443.3,321.3,197.3,219.7,232.3,507.3,492.3,413
139,331.3,446,323.7,198.3,221,233.7,510.3,495,415
140,333.3,448.3,325.3,199.7,222.3,235.3,513,497.3,417
141,335.3,451,327.3,201,224,237,516,500.3,420
142,337.3,453.7,329.3,202.7,225.7,238.3,519,503,423
143,339.3,456,331,204,227,239.7,521,505.7,425
144,341.3,458.7,333.3,205.3,228.3,241.3,524,508,427
145,343,461.3,335.3,206.7,230,243,526.7,510.7,430
146,345,463.7,336.7,208,231.3,244.3,529.3,513.3,432
147,347,466.3,339,209.3,232.7,246,532,516,435
148,349,468.7,341,211,234,247.7,535,518.3,437
149,350.7,471.3,343,212,235.3,249,537.3,521,439
150,352.7,474,344.7,213.3,236.7,250.7,539.7,523.7,442
151,354,476.3,346.7,214.7,238.3,252.3,542.7,526.3,445
152,356,478.7,348.3,216,240,253.3,545.3,528.7,447
153,358,481.3,350.7,217.3,241.3,255,548.3,531,449
154,360,483.7,352,218.7,242.7,256.7,550.3,533.7,452
155,362,486,354,220,244.3,258,553.3,536,454
156,364,489,356,221.3,245.7,259.7,556,538.7,457
157,366,491.3,358,222.7,247.3,261,558.7,541,459
158,368,493.3,360,224,249,262.3,561,543.3,461
159,369,496,361.3,225.3,250,264,563.7,546,464
160,371,498.3,363.7,226.7,251.3,265.3,566.3,548.3,466
161,373,500.7,365.3,228.3,252.7,267,568.7,551,469
162,375,503.3,367,229.3,254,268.7,571,553.3,471
163,377,505.3,368.7,230.7,255.3,270,573.7,555.3,473
164,379,508,370.7,232,257,271.3,576.3,558.3,476
165,380.3,510.7,373,233,258.3,272.7,579,560.7,478
166,382,512.7,374.3,234.7,259.7,274.3,581,562.7,480
167,384,515,376.3,236,261,276,583.7,565,483
168,386,517,378.3,237.3,262.3,277.3,586.3,567,485
169,388,520,379.7,238.3,264,278.7,588.7,570,487
170,389,522,381.7,240,265.7,280.3,590.7,572,490
171,391,524.3,383.7,241,267,281.7,593.7,574.3,492
172,393,526.7,385.7,242.3,268.3,283.3,596,577,494
173,394.7,529,387,243.7,269.7,284.7,598.7,579,497
174,396.7,531.3,389,245,271,286.3,600.7,581,498
175,398.3,533.7,390.7,246.3,272.3,287.3,603.3,583.7,501
176,400,536,392.7,247.7,273.3,289,605.3,585.7,503
177,401.7,538.3,394.3,249,274.7,290.3,608,588.3,506
178,403.7,540.3,396,250,276.7,292.3,610.3,590.3,508
179,405.3,543,397.7,251.7,278,293.3,612.3,592.7,510
180,407,545,399.7,252.7,279.3,294.7,614.3,594.7,512
181,408.7,547.3,401.3,254.3,280.7,296.3,617.3,596.7,515
182,410.7,549.7,403.3,255.3,282,298,619.3,599.7,517
183,411.7,552,404.7,257,283.3,299.3,621.7,601.3,519
184,413.7,554,406.7,258,284.3,300.7,624.3,603.7,521
185,415.7,556,408.3,259.3,286,302,626.3,606,524
186,417.3,558.3,410,260.3,287.3,303.7,628.3,608,526
187,418.7,560.7,412,261.7,288.7,305,631,610,528
188,420.7,562.7,413.7,263.3,290,306.3,633.3,612,530
189,422.7,565,415.3,264.3,291.3,307.7,635.7,614.7,532
190,424.3,567.3,417.3,265.7,293,309.3,637.7,616.7,534
191,425.7,569.3,418.7,267.3,293.7,310.7,640,618.7,536
192,427.3,571.7,420.3,268,295.3,312,642.3,620.7,539
193,429.3,573.7,422.3,269.7,297,313.3,644,623,541
194,430.7,575.7,424,270.7,298.7,315.3,646.7,625,543
195,432.7,578,425.7,272,300,316.3,648.7,627,545
196,434.3,580,427.3,273.3,301.3,317.7,650.7,629,547
197,436,582.3,429,274.7,302.7,319,653,631,550
198,437.3,584.3,430.7,276,303.7,320.3,655.3,633,551
199,439.3,587,432.7,277.3,305,322,657.3,635,554
200,441,588.7,434,278.7,306.3,323.3,659.7,637,556
201,442.3,591,436,280,308,325,661.7,639,558
202,444.3,593,437.3,281.3,309.3,326,663.7,641,560
203,446,595,439.3,282.3,310.3,327.3,665.7,643,562
204,447.3,597.3,440.7,283.3,311.7,329.3,668,645,564
205,449,599.3,442.3,285,313.3,330.3,669.7,647,566
206,450.3,601,444,286.3,314.7,331.7,672,649,568
207,452.3,603.3,445.7,287.7,316,333.3,674,651.3,570
208,453.7,605.3,447.3,288.7,317,334.3,676,653.3,572
209,455.3,607.7,449.3,289.7,318.3,336,678,655,574
210,456.7,609.3,450.7,291,319.7,337.3,680,656.7,577
211,458.7,611.7,452.3,292.7,321.3,339,682,659,579
212,460,613.7,453.7,293.7,322.7,340,684,661,581
213,461.7,615.3,455.7,295,323.7,341.3,686,662.7,583
214,463.3,617.7,457,296,325,342.3,688.3,664.7,585
215,464.7,619,459,297.3,326.3,344.3,690.3,666.3,587
216,466.3,621,460.3,298.7,327.3,345.7,692.3,668.3,589
217,467.7,623,462,300.3,328.7,346.7,694,670.3,590
218,469.7,625.3,463.7,301.3,330,348.3,695.7,672,593
219,471,627,465,302.3,332,350,698,673.7,595
220,472.3,629,466.7,303.7,333,351,700,675.7,597
221,474,631.3,468.3,305,334,352.3,701.7,677.7,599
222,475.7,633.3,470.3,306.3,335.7,353.7,703.7,679.7,601
223,477.3,635.3,472,307.7,337,355,706,681.3,603
224,478.7,637.3,473,308.7,338.3,356.7,707.3,683,604
225,480,639.3,474.7,310,339.3,357.7,709.3,684.7,607
226,481.7,641,476,311,340.7,359.3,711.3,686.7,609
227,483.3,643,478.3,312,342,360.7,713.3,688.3,611
228,485,644.7,479.3,314,343.3,361.7,715,690,612
229,486.3,646.7,481,315,344.7,363.3,717,692,614
230,487.7,648.3,482.7,316,345.7,365,718.7,693.3,616
231,489.3,650.7,484,317.3,347.3,366,721,695.3,618
232,491,652.3,486,318.3,348.3,367.3,722,697.3,620
233,492.3,654,487.3,319.3,349.7,368.3,724,699,622
234,494,656,489,321.3,351,370,726,700.7,624
235,495.3,658,490.3,322.3,352,371.7,728,702.3,626
236,496.3,659.7,491.7,323.7,353.7,372.7,729.7,704,627
237,498.3,661.7,493.7,324.7,355,374,731.7,706,629
238,499.7,663.3,494.7,325.7,356.3,375,733.3,707.3,631
239,501.3,665.3,497,327,357.3,376.7,735.3,709.3,633
240,502.3,667.3,498,328.3,358.7,378,737.3,711,635
241,504.3,669.3,499.3,329.7,359.7,379.3,738.7,712.3,637
242,505.3,670.7,501,331,361,381,740.3,714,639
243,507,672.3,502.7,332,362.3,382,742.3,716,641
244,508.3,674.3,504.3,333,363.3,383.3,743.7,717.7,643
245,510,676.3,505.3,334.3,364.7,384.3,745.3,719,644
246,511.3,678,507.3,335.7,366,386,747.3,720.7,646
247,512.7,679.7,508.7,337.3,367,387.3,749,722.3,648
248,514,681.3,510,338.3,368.3,388.7,750.7,723.7,650
249,515.3,683.3,511.3,339.3,369.3,390,752.3,725.3,652
250,517,685,513.3,340.3,370.7,391,754,727.3,653
251,518.3,686.7,514.3,341.7,372.3,392,755.7,728.7,655
252,519.7,688.3,516.3,342.7,373.3,393.7,757.7,730.7,657
253,521,690,517.7,344,374.7,395.3,759,732,659
254,522.7,692,518.7,345.7,376,396.3,761,733.7,661
255,524,693.7,520.7,346.7,377.3,397.7,762.3,735,662
256,525.7,695,522,347.7,378.7,398.7,764,736.3,664
257,527,697,523.3,349,380,400.3,765.7,738.3,666
258,528,699,524.7,350,381,401.3,767,739.7,668
259,529.3,701,526.3,351.3,382.3,402.7,768.7,741.3,669
260,531,702,527.7,352.7,383.3,404,770.3,743,671
261,532.3,704,529,353.7,384.7,405.7,772,744.3,673
262,533.7,705.7,530.7,355,386,406.7,773.3,746,675
263,535,707.3,531.7,356.3,387,408,775,747.3,676
264,536,709,533.3,357.3,388.3,409,776.3,748.7,678
265,537.7,710.7,535,358.3,389.3,410.7,778,750.7,679
266,539.3,712.3,536.3,359.7,390.7,411.7,780,751.7,681
267,540.3,714,538,361,391.7,413,781,753.3,683
268,541.7,715.7,539,362,393,414.3,782.7,754.7,685
269,543.3,717,540.7,363,394,415.7,784.7,756.3,686
270,544.3,718.7,542,364.3,395.3,416.7,785.7,757.7,687
271,546,720.7,543.7,365.7,396.3,418.3,787.3,759,689
272,547.3,722,544.7,367,397.7,419.3,789,761,691
273,548.3,723.7,546,368,399,420.7,790.3,762.3,693
274,549.7,725.3,547.7,369,400,421.7,792,763.7,694
275,551.3,727,549,370,401.3,423,793.3,765,696
276,552.3,728.7,550.3,371.3,402.3,424.7,794.7,766.3,697
277,553.7,730,552,372.7,403.7,425.7,796.3,768,699
278,555,731.7,553,373.7,404.7,427,797.7,769.3,701
279,556.3,733,554.7,375.3,406,428,799.3,770.3,702
280,557.3,735,556,376.3,407,429.3,801,772,704
281,559.3,736.3,557.3,377.3,408.3,430.3,802,773,706
282,560.3,738,558.7,378.3,409.3,432.3,803.7,774.7,708
283,561.3,739.3,560,379.7,410.7,433.3,805,776,709
284,562.7,741,561.7,380.7,411.7,434.7,806.3,777.3,711
285,564.3,742.7,562.7,382,413,435.7,807.7,779,712
286,565.3,744,564,383.3,414,436.7,809,780,714
287,566.7,745.7,565.3,384.3,415.3,438,810.7,781.3,715
288,568,747,567,385.3,416.7,439,812,782.7,717
289,569.3,748.7,568,386.3,417.7,440.7,813.3,784.3,718
290,570.3,750.3,569.3,387.7,418.7,441.7,814.7,785.3,720
291,571.7,751.7,571,389,420,442.7,816,786.3,721
292,573,753.3,572.3,390,421,444.3,817.3,788,723
293,574,754.7,573.7,391.3,422.3,445.3,818.7,789.3,724
294,575.3,756.3,575,392.3,423.3,446.7,820.3,790.3,726
295,576.7,757.7,576.3,393.3,425,447.7,821.3,792,727
296,578,759.3,577.7,394.3,425.7,449,823,793,729
297,579,760.7,579,396,427,450.3,824,794.7,730
298,580.3,762.3,580.3,397,428,451.3,825.7,795.7,732
299,581.3,763.3,581.7,398,429.3,453,826.7,797,734
300,583,765,583,399,430.3,453.7,828,798.3,735
301,584,766.7,584,400.7,431.3,455,829,799.3,736
302,585,767.7,585.3,401.7,432.7,456.7,830.3,801,738
303,586,769,587,402.7,433.7,457.7,832,802,740
304,588,770.7,588,404,435,458.7,833,803.3,741
305,589,772,589.3,405,436,460,834.7,804.7,742
306,590,773.7,591,406.3,437.3,461,835.7,805.7,744
307,591,775,592,407.3,438.3,462.3,837,806.7,745
308,592.7,776.3,593,408.3,439.7,463.3,838.3,808.3,746
309,593.7,778,594.3,409.7,440.7,464.3,839.3,809.3,748
310,595,779,596,410.7,441.7,465.7,841,811,749
311,596,781,597,411.7,443,467.3,842,812,751
312,597,782,598.3,413,444,468,843.3,813.3,752
313,598.3,783.7,599.3,414.3,445.3,469.7,844.3,814,754
314,599.7,785,601,415.3,446.3,470.7,845.7,815.3,755
315,601,786,602.3,416,447.3,471.7,847,816.7,757
316,602,787.7,603.3,417.3,448.7,473,848,817.7,758
317,603.3,789,604.3,418.7,449.7,474,849,818.7,759
318,604.3,790.3,606,419.7,451,475.3,850.3,820,761
319,605.3,791.3,607.3,421,452,476.7,851.7,821.3,762
320,606.7,792.7,608.3,421.7,453,477.7,852.7,822.3,763
321,608,794.3,610,423.3,454,478.7,853.7,823.7,764
322,609,795.3,611,424.3,455.3,480,855,824.7,766
323,610,796.7,612,425,456.3,481.3,856,825.7,768
324,611.3,798.3,613.7,426.3,457.7,482,857,827,769
325,612.3,799.7,614.7,427.3,458.7,483.7,858,828.3,770
326,613.7,800.7,616,428.7,459.3,484.7,859.3,828.7,772
327,614.3,802,617,429.7,460.7,486,860.3,830.3,773
328,615.7,803.7,618.3,430.7,462,487,862,831,774
329,617,804.7,619.7,431.7,463,488.3,863,832.3,776
330,618.3,805.7,621,432.7,464,489.3,864,833.3,777
331,619.3,807,622,434,465,490.3,865,834.3,778
332,620.3,808.7,623,435,465.7,491.3,866.7,835.7,779
333,621.3,810,624,436.3,467.3,492.7,867.3,836.7,781
334,622.3,811,626,437.3,468.3,493.7,868.3,837.7,782
335,623.3,812.3,627,438.7,469.3,494.7,869.3,839.3,783
336,624.7,814,628,439.7,470.3,496,870.7,840,785
337,625.7,815,629,441,471.3,497,871.7,841,786
338,626.7,816,630,441.7,472.3,498.3,872.7,842,787
339,628,817.3,632,442.7,473.7,499.7,874.3,843.3,789
340,629.3,818.3,633,444,474.7,500.7,875,844.3,790
341,630.3,820.3,634,445.3,475.7,502,876,845,791
342,631.3,821.3,635,446,477,503,877,846.3,792
343,632.3,822.3,636,447,478,504,878,847,793
344,633.3,823.3,637.3,448.3,479,505.3,879,848.3,795
345,634.7,824.7,638.7,449.3,480,506.3,880,849.3,796
346,635.3,826,640,450.3,481.3,507.3,881,850.3,797
347,636.7,827,641,451.7,482.3,508.3,882,851,798
348,637.7,828.3,642,452.7,483.3,509.7,883,852,800
349,638.7,829.7,643.3,453.7,484.3,511,884,853,801
350,639.7,830.7,644.3,455,485.7,512,884.7,854.3,802
351,640.7,831.7,645.3,456,486.3,513,886,855.3,804
352,642,833.3,647,457,487.7,514,887,856.3,805
353,643.3,834.3,647.3,458,489,515.3,888,857.3,806
354,644.3,835.3,649,459,489.3,516.3,888.7,858,807
355,645.3,836.7,650.3,460,490.3,517.3,889.7,859,808
356,646.3,837.7,651.3,461.3,491.3,518.3,891,860,809
357,647,838.7,652.3,462.3,492.7,519.7,892,861,811
358,648.3,840,653.3,463.3,493.7,520.7,893,862,812
359,649.3,841,654.3,464.3,494.7,521.7,894,863.3,813
360,650.3,842.3,655.7,465.3,495.7,522.7,894.7,863.7,814
361,651.3,843.3,656.7,466.3,497,523.7,895.7,864.7,816
362,652.3,845,658,467.3,498,524.7,896.3,865.7,817
363,653.3,846,659.3,468.7,499,526,897.3,866.7,818
364,654.3,847,660.3,469.7,500,527.3,898.3,867.7,819
365,655.3,848,661.3,470.7,501.3,528.3,899,868.3,820
366,656.3,849,662.3,471.7,502.3,529,900,869.7,821
367,657.3,850.3,663.3,472.7,503.3,530.3,901.7,870.3,822
368,658.3,851.3,664.7,473.7,504,531.7,901.7,871,823
369,659.3,852.3,666,474.7,505,533,902.7,872,824
370,660.3,853.3,667,476,505.7,533.7,904,873,826
371,661.7,854.7,668.3,477,507,535,904.7,874,827
372,662.3,856,669,478,508,536,905.7,875,828
373,663.3,856.7,670.3,479,509,537,906.7,876,829
374,664.3,858,671.3,480,510,538,907.3,876.7,830
375,665.7,858.7,672.3,481,511,539.3,908.3,877.7,831
376,666.3,860,673.3,482.3,512,540.3,909.3,878.3,832
377,667.3,861.3,674.3,483.3,513.3,541.3,910,879.3,833
378,668.3,862.3,675.7,484.3,514,542.3,911,880,834
379,669.3,863.3,676.3,485.3,515,543.3,912,880.7,835
380,670.3,864.3,677.3,486.3,516,544.3,912.3,881.7,836
381,671.3,865.3,678.7,487.3,517,545.3,913.3,882.3,837
382,672.3,866.7,680,488.3,517.7,546.7,914.3,883.7,838
383,673.3,867.7,681,489.3,519,547.7,915,884,840
384,674.3,868.7,682,490.7,520.3,548.7,916,885,841
385,675.3,869.7,683,491.7,521,549.7,916.7,886,842
386,676,870.7,684,492.7,522,550.7,917.7,886.7,843
387,677,871.3,685,493.7,523,551.7,918.7,887.3,844
388,678,872.3,686,494.7,524,552.7,919.3,888.3,844
389,679,873.7,687,495.7,525,553.7,920,889,846
390,680,874.7,688,496.7,526,555,920.7,890,847
391,681,875.7,689,498,527,556,921.7,891,848
392,682,876.7,690.3,499,528,557,922.3,891.7,849
393,683,877.7,690.7,500,529,558,923.3,892.3,850
394,683.7,878.7,692.3,501,530,559,924.3,893.3,851
395,685,879.7,693.3,501.7,530.7,559.7,924.7,894,852
396,685.7,880,694.7,502.7,531.7,561,925.7,894.3,853
397,686.3,881.3,695.7,504,532.7,562,926.3,895.3,854
398,687.7,882.3,696.7,504.7,534,563,927.3,896,855
399,688.3,883.3,697.3,505.7,535,564,928,897,856
400,689.3,884.3,698.3,507,535.7,565.3,928.7,897.7,857
401,690.3,885.3,699.3,508,536.7,566,929,898.7,858
402,691,886.3,700.3,509,537.7,567,930,899.3,859
403,692,887.3,701.3,510,538.7,568,930.7,900.3,860
404,693,888,702.3,511,539.7,569,931.7,901,861
405,694,889,703.3,512,540.7,570,932.3,902,862
406,695,890,704.3,512.7,541.3,571,933,902.3,863
407,696,891,705.3,513.7,542.3,572,933.7,903.3,864
408,696.7,892,706.3,514.7,543.3,573,934.7,904,864
409,697.7,893,707.3,515.7,544.3,574,935.7,904.7,866
410,698.3,893.7,708.3,516.7,545.3,575,936,905.7,866
411,699.3,894.3,709.3,517.7,546.3,576,936.3,906.3,867
412,700,895.3,710.7,519,547.3,577,937.7,907.3,868
413,701,896.7,711,519.7,548.3,578,938.3,908,869
414,702,897.3,712.3,521,549.3,579,938.7,908.3,870
415,703,898.7,713.3,521.7,550,580,939.7,909.3,871
416,704,899.3,714,523,551,581.3,940.3,909.7,872
417,704.7,900.3,715.3,524,551.7,582,941,910.7,873
418,705.7,901.3,716.3,524.7,552.7,583,941.3,911,874
419,706.7,902,717.3,525.7,553.7,584,942,912.3,875
420,707.3,903,718.3,527,554.7,585.3,943.3,912.7,876
421,708,903.7,719,527.7,555.7,586.3,943.3,913.3,876
422,709,904.7,720,528.7,556.7,587.3,944.3,914.3,877
423,710,905.7,721,529.7,557.3,588.3,945,915,878
424,710.7,906.7,722,530.3,558.7,589.3,946,915.3,879
425,711.3,907.3,723,531.7,559,590.3,946.3,916.3,880
426,712.7,908,724,532.3,560,591.3,947,916.7,881
427,713.7,909,724.7,533,561,592.3,947.7,917.3,882
428,714.3,910,725.7,534.7,562,593.3,948.3,918.3,883
429,715,911,726.7,535.7,563,594,949,918.7,883
430,716,911.7,727.7,536.3,564,594.7,950,919.3,884
431,716.7,912.3,728.7,537.7,564.7,595.7,950,920.3,885
432,717.7,913,729.7,538.3,566,596.7,950.7,921,886
433,718,914.3,730.7,539.3,566.3,597.7,951.7,921.3,887
434,719,914.7,731,540.3,567.3,598.7,952.3,922.3,887
435,720,915.3,732.3,541.3,568.3,599.7,952.7,922.7,888
436,721,916.3,733.3,542.3,569.3,600.7,953.3,923.7,889
437,721.7,917,734,543,570.3,601.7,954,924,890
438,722.7,918,735.3,544,571.3,602.7,954.7,924.7,891
439,723.3,919,735.7,545,572,603.7,955,925.7,892
440,724,919.7,736.7,546,572.7,604.7,956,926.3,892
441,725,920.3,737.3,547,574,605.3,956.3,926.3,894
442,725.7,921.3,738.3,547.7,574.7,606.3,957,927.3,895
443,726.7,922.3,739.3,549,575.7,607.3,957.7,928,895
444,727.3,922.7,740,549.7,576.7,608.3,958.3,928.7,896
445,728,923.7,741.3,550.7,577.7,609.3,959,929.3,897
446,729,924.7,742,551.7,578.7,610.3,959.3,930,897
447,730,925,743,552.7,579,611,960,930.3,898
448,730.7,926,743.7,553.7,580,611.7,960.7,930.7,899
449,731.7,926.7,745,554.3,581,612.7,961,932,900
450,732,927.3,745.7,555.3,582,613.7,962,932.3,901
451,733,928.3,746.7,556.3,583,614.7,962.3,932.3,901
452,733.7,929.3,747.7,557.3,584,615.7,963,933.3,902
453,734.7,930,748.7,558.3,585,616.7,963.7,933.7,903
454,735.3,930.7,749,559,585.3,617.7,964,934.3,904
455,736,931.7,750,560,586.7,618.7,964.3,934.7,905
456,737,932.3,751,561,587.3,619.7,965.3,935.3,905
457,737.7,933,751.7,562,588,620.7,965.7,936,906
458,738.7,933.7,752.7,563,589,621.3,966,936.3,907
